Tickers;Long Company Name;Last Sale Price;Common Dividends Paid;Repurchase of Common Stock;Net Income to Company;Total Assets;Total Debt;Cash And Equivalents;LTM EBITDA;Market Capitalization;Total Enterprise Value;Shares Outstanding;Total Equity;Paid Dividend;Repurchase of Stock ;Dividend Yield (%);Payout Dividendos;Payout Recompra;MB;CASH;ROA;Net Debt;DEBT;Year
BOVESPA:CEGR3;Companhia Distribuidora de Gás do Rio de Janeiro - CEG (BOVESPA:CEGR3);60,00;-232,30;0,00;352,08;3412,00;1190,40;311,20;730,60;15578,30;16358,20;259,60;1194,11;1,00;0,00;0,01;0,66;0,00;13,05;0,09;0,10;879,00;0,35;2020,00
BOVESPA:CGAS5;Companhia de Gás de São Paulo - COMGÁS (BOVESPA:CGAS5);172,71;-1135,70;0,00;1150,61;10617,00;7054,20;1610,50;2310,00;23032,00;26699,60;132,50;590,05;1,00;0,00;0,05;0,99;0,00;39,03;0,15;0,11;5444,00;0,66;2020,00
BOVESPA:ABCB4;Banco ABC Brasil S.A. (BOVESPA:ABCB4);15,67;-107,40;0,00;322,08;43329,00;14209,00;6244,80;NA;3366,30;11330,50;214,80;4288,26;1,00;0,00;0,03;0,33;0,00;0,79;0,14;0,01;7964,00;0,33;2020,00
BOVESPA:RPAD3;Alfa Holdings S.A. (BOVESPA:RPAD3);6,05;-7,10;0,00;33,95;1038,00;0,00;0,50;0,00;512,30;504,90;84,70;1028,14;1,00;0,00;0,01;0,21;0,00;0,50;0,00;0,03;0,00;0,00;2020,00
BOVESPA:BRIV4;Banco Alfa de Investimento S.A. (BOVESPA:BRIV4);9,05;-23,00;-0,20;73,69;16579,00;9635,30;6,60;NA;793,20;10421,90;88,50;1542,78;1,00;1,00;0,03;0,31;0,00;0,51;0,00;0,00;9629,00;0,58;2020,00
BOVESPA:BAZA3;Banco da Amazônia S.A. (BOVESPA:BAZA3);42,20;-106,40;0,00;265,57;20816,00;2070,60;503,60;NA;1251,10;2818,10;29,60;2416,80;1,00;0,00;0,09;0,40;0,00;0,52;0,02;0,01;1567,00;0,10;2020,00
BOVESPA:BMGB4;Banco BMG S.A. (BOVESPA:BMGB4);6,23;0,00;-107,20;329,05;28234,00;4818,60;160,80;NA;3662,50;8320,20;587,90;4128,31;0,00;1,00;0,00;0,00;0,33;0,89;0,01;0,01;4658,00;0,17;2020,00
BOVESPA:BPAN4;Banco Pan S.A. (BOVESPA:BPAN4);9,53;-201,20;0,00;655,57;38524,00;6661,90;1256,80;NA;11484,20;16889,30;1205,10;5317,47;1,00;0,00;0,02;0,31;0,00;2,16;0,03;0,02;5405,00;;2020,00
BOVESPA:BGIP4;Banco do Estado de Sergipe S.A. (BOVESPA:BGIP4);27,14;-2,70;0,00;60,87;7240,00;246,70;727,50;NA;538,60;57,80;15,30;531,06;1,00;0,00;0,01;0,05;0,00;1,01;0,10;0,01;-481,00;;2020,00
BOVESPA:BEES3;Banestes S.A - Banco do Estado do Espírito Santo (BOVESPA:BEES3);5,45;-19,80;0,00;221,65;30531,00;11748,90;351,40;NA;1770,80;13168,30;315,90;1685,02;1,00;0,00;0,01;0,09;0,00;1,05;0,01;0,01;11398,00;;2020,00
BOVESPA:BRSR6;Banco do Estado do Rio Grande do Sul S.A. (BOVESPA:BRSR6);14,57;-73,70;0,00;727,68;91823,00;9241,00;1274,00;NA;6208,00;14175,00;409,00;8346,22;1,00;0,00;0,01;0,10;0,00;0,74;0,01;0,01;7967,00;;2020,00
BOVESPA:BBDC4;Banco Bradesco S.A. (BOVESPA:BBDC4);22,43;-1432,10;0,00;16033,96;1604654,00;501500,60;23845,10;NA;226778,70;704434,20;10691,00;146117,37;1,00;0,00;0,01;0,09;0,00;1,55;0,01;0,01;477656,00;;2020,00
BOVESPA:BBAS3;Banco do Brasil S.A. (BOVESPA:BBAS3);38,80;-2404,00;0,00;14273,91;1725672,00;778100,40;56814,30;NA;110705,70;831991,70;2853,20;126971,11;1,00;0,00;0,02;0,17;0,00;0,87;0,03;0,01;721286,00;;2020,00
BOVESPA:BPAC3;Banco BTG Pactual S.A. (BOVESPA:BPAC3);11,41;-541,00;-92,70;3882,65;244925,00;124299,10;44406,40;NA;110094,50;189987,20;10850,80;27125,95;1,00;1,00;0,00;0,14;0,02;4,06;0,18;0,02;79893,00;;2020,00
BOVESPA:ITSA4;Itaúsa S.A. (BOVESPA:ITSA4);11,17;-4569,00;0,00;7344,00;72600,00;6073,00;2887,00;1226,00;100421,70;104711,70;8831,40;60633,00;1,00;0,00;0,05;0,62;0,00;1,66;0,04;0,10;3186,00;;2020,00
BOVESPA:ITUB4;Itaú Unibanco Holding S.A. (BOVESPA:ITUB4);31,63;-11552,00;0,00;15064,00;2019251,00;652424,00;50112,00;NA;290440,80;892752,80;9762,50;154525,00;1,00;0,00;0,04;0,77;0,00;1,88;0,02;0,01;602312,00;;2020,00
BOVESPA:BNBR3;Banco do Nordeste do Brasil S.A. (BOVESPA:BNBR3);76,00;-66,40;0,00;1019,22;61818,00;15527,10;155,00;NA;6564,20;21936,20;86,40;6171,98;1,00;0,00;0,01;0,07;0,00;1,06;0,00;0,02;15372,00;;2020,00
BOVESPA:PINE4;Banco Pine S.A. (BOVESPA:PINE4);2,52;0,00;0,00;-63,62;13697,00;4647,00;166,40;NA;373,40;4854,00;148,20;792,69;0,00;0,00;0,00;0,00;0,00;0,47;0,01;-0,01;4481,00;;2020,00
BOVESPA:SANB11;Banco Santander (Brasil) S.A. (BOVESPA:SANB11);44,83;-10280,40;-110,20;13450,75;933578,00;232347,50;28446,80;NA;168301,70;372202,40;3754,20;106089,87;1,00;1,00;0,06;0,76;0,01;1,59;0,03;0,01;203901,00;;2020,00
BOVESPA:CRIV3;Financeira Alfa S.A. - Crédito, Financiamento e Investimentos (BOVESPA:CRIV3);5,46;-23,70;-0,40;54,43;9321,00;2039,90;1350,80;284,10;604,10;-2541,10;102,70;1005,29;1,00;1,00;0,04;0,43;0,01;0,60;0,14;0,01;689,00;;2020,00
BOVESPA:MERC3;Mercantil do Brasil Financeira S.A. (BOVESPA:MERC3);24,31;-5,00;0,00;8,80;302,00;0,00;37,20;NA;336,40;299,20;18,00;248,21;1,00;0,00;0,01;0,57;0,00;1,36;0,12;0,03;-37,00;;2020,00
BOVESPA:CSAN3;Cosan S.A. (BOVESPA:CSAN3);17,39;-945,20;0,00;2483,28;32865,00;13415,00;6076,60;2721,20;26990,70;34500,40;1551,90;11672,75;1,00;0,00;0,04;0,38;0,00;2,31;0,18;0,08;7338,00;0,41;2019,00
BOVESPA:DMMO3;Dommo Energia S.A. (BOVESPA:DMMO3);2,93;0,00;0,00;-126,52;1340,00;811,30;125,70;28,30;791,20;1476,50;270,00;-482,48;0,00;0,00;0,00;0,00;0,00;-1,64;0,09;-0,09;686,00;0,61;2019,00
BOVESPA:ENAT3;Enauta Participações S.A. (BOVESPA:ENAT3);16,00;-500,00;0,00;183,87;4501,00;993,10;51,30;502,60;4195,40;3767,30;262,20;2876,54;1,00;0,00;0,12;2,72;0,00;1,46;0,01;0,04;942,00;0,22;2019,00
BOVESPA:RPMG3;Refinaria de Petróleos de Manguinhos S.A. (BOVESPA:RPMG3);5,12;0,00;0,00;-228,46;2490,00;2,00;0,10;-190,30;346,50;347,40;67,70;-2780,89;0,00;0,00;0,00;0,00;0,00;-0,12;0,00;-0,09;2,00;0,00;2019,00
BOVESPA:PETR4;Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4);30,18;-7488,00;0,00;40970,00;926011,00;351161,00;29714,00;118655,00;407218,90;724750,90;13044,20;299137,00;1,00;0,00;0,02;0,18;0,00;1,36;0,03;0,04;321447,00;0,38;2019,00
BOVESPA:PRIO3;Petro Rio S.A. (BOVESPA:PRIO3);6,61;0,00;0,00;842,35;5490,00;2258,10;459,40;738,20;4419,50;6159,70;668,40;2165,10;0,00;0,00;0,00;0,00;0,00;2,04;0,08;0,15;1799,00;0,41;2019,00
BOVESPA:UGPA3;Ultrapar Participações S.A. (BOVESPA:UGPA3);25,48;-596,40;0,00;402,94;31195,00;15985,30;2115,40;2938,00;27672,00;38805,80;1086,00;9835,18;1,00;0,00;0,02;1,48;0,00;2,81;0,07;0,01;13870,00;0,51;2019,00
BOVESPA:VBBR3;Vibra Energia S.A. (BOVESPA:VBBR3);30,07;-3049,00;0,00;2211,00;25866,00;6775,00;2362,00;1839,00;35031,60;37342,60;1165,00;8766,00;1,00;0,00;0,09;1,38;0,00;4,00;0,09;0,09;4413,00;0,26;2019,00
BOVESPA:LUPA3;Lupatech S.A. (BOVESPA:LUPA3);1,92;0,00;0,00;-26,18;505,00;148,80;5,80;-15,60;43,20;169,10;22,50;99,57;0,00;0,00;0,00;0,00;0,00;0,43;0,01;-0,05;143,00;0,30;2019,00
BOVESPA:OSXB3;OSX Brasil S.A. (BOVESPA:OSXB3);3,27;0,00;0,00;-568,63;2012,00;4967,10;1,10;-21,00;10,30;5871,50;3,10;-4583,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-0,28;4966,00;2,47;2019,00
BOVESPA:BRAP3;Bradespar S.A. (BOVESPA:BRAP3);31,31;-379,70;0,00;-403,21;10106,00;224,00;201,20;0,00;12967,20;12985,30;393,10;9560,86;1,00;0,00;0,03;0,00;0,00;1,36;0,02;-0,04;23,00;0,02;2019,00
BOVESPA:MMXM3;MMX Mineração e Metálicos S.A. (BOVESPA:MMXM3);2,55;0,00;0,00;-120,70;123,00;223,10;1,20;-49,70;16,50;240,00;6,50;-733,51;0,00;0,00;0,00;0,00;0,00;-0,02;0,01;-0,98;222,00;1,82;2019,00
BOVESPA:VALE3;Vale S.A. (BOVESPA:VALE3);53,30;0,00;0,00;-8697,00;369671,00;78924,00;29627,00;71973,00;273337,50;323575,50;5128,30;157149,00;0,00;0,00;0,00;0,00;0,00;1,74;0,08;-0,02;49297,00;0,21;2019,00
BOVESPA:FESA4;Cia de Ferro Ligas da Bahia - FERBASA (BOVESPA:FESA4);20,01;-114,40;0,00;221,53;2746,00;542,80;73,70;193,20;2094,10;2388,90;85,10;1838,17;1,00;0,00;0,05;0,52;0,00;1,14;0,03;0,08;469,00;0,20;2019,00
BOVESPA:GGBR4;Gerdau S.A. (BOVESPA:GGBR4);20,00;-484,20;0,00;1216,89;54003,00;16854,10;2641,70;4903,20;32297,00;45187,30;1697,50;27173,13;1,00;0,00;0,01;0,40;0,00;1,19;0,05;0,02;14212,00;0,31;2019,00
BOVESPA:GOAU4;Metalurgica Gerdau S.A. (BOVESPA:GOAU4);9,28;-456,20;0,00;1196,73;54049,00;16854,10;2641,70;4915,10;9801,50;39884,80;1081,00;27227,25;1,00;0,00;0,05;0,38;0,00;0,36;0,05;0,02;14212,00;0,31;2019,00
BOVESPA:CSNA3;Companhia Siderúrgica Nacional (BOVESPA:CSNA3);14,11;-1920,30;0,00;2244,51;50869,00;28441,40;1089,00;5155,90;19473,40;48474,30;1380,10;11361,93;1,00;0,00;0,10;0,86;0,00;1,71;0,02;0,04;27352,00;0,56;2019,00
BOVESPA:USIM5;Usinas Siderúrgicas de Minas Gerais S.A. (BOVESPA:USIM5);9,51;-255,50;0,00;376,69;26337,00;5829,30;1253,00;1763,60;11945,50;18414,40;1229,50;15565,68;1,00;0,00;0,02;0,68;0,00;0,77;0,05;0,01;4576,00;0,22;2019,00
BOVESPA:PATI4;Panatlântica S.A. (BOVESPA:PATI4);19,08;-15,30;0,00;17,83;956,00;344,20;22,50;51,60;420,00;463,70;23,90;426,37;1,00;0,00;0,04;0,86;0,00;0,99;0,02;0,02;322,00;0,36;2019,00
BOVESPA:PMAM3;Paranapanema S.A. (BOVESPA:PMAM3);29,09;-27,40;0,00;-25,08;3870,00;2370,50;118,00;462,60;1262,60;3422,90;43,40;621,40;1,00;0,00;0,02;0,00;0,00;2,03;0,03;-0,01;2252,00;0,61;2019,00
BOVESPA:BRKM5;Braskem S.A. (BOVESPA:BRKM5);29,85;-668,90;0,00;-2896,97;68129,00;44372,80;6803,90;4805,20;24520,80;59223,60;795,70;3944,71;1,00;0,00;0,03;0,00;0,00;6,22;0,10;-0,04;37569,00;0,65;2019,00
BOVESPA:DEXP3;Dexxos Participações S.A. (BOVESPA:DEXP3);2,66;-1,70;0,00;22,09;814,00;169,70;12,00;60,70;248,80;437,30;93,50;225,72;1,00;0,00;0,01;0,08;0,00;1,10;0,01;0,03;158,00;0,21;2019,00
BOVESPA:FHER3;Fertilizantes Heringer S.A. (BOVESPA:FHER3);3,61;0,00;0,00;664,64;1600,00;578,60;20,00;-117,70;194,40;1401,70;53,90;51,06;0,00;0,00;0,00;0,00;0,00;3,81;0,01;0,42;559,00;0,36;2019,00
BOVESPA:NUTR3;Nutriplant Indústria e Comércio S/A (BOVESPA:NUTR3);45,00;0,00;0,00;34,46;58,00;12,00;0,60;1,40;5,80;18,70;0,10;12,83;0,00;0,00;0,00;0,00;0,00;0,45;0,01;0,59;11,00;0,21;2019,00
BOVESPA:CRPG5;Tronox Pigmentos do Brasil S.A. (BOVESPA:CRPG5);25,03;0,00;0,00;109,91;789,00;8,20;195,60;97,10;756,60;577,30;29,00;577,53;0,00;0,00;0,00;0,00;0,00;1,31;0,25;0,14;-187,00;0,01;2019,00
BOVESPA:UNIP6;Unipar Carbocloro S.A. (BOVESPA:UNIP6);32,46;-25,00;-112,40;172,36;3719,00;677,50;301,50;552,00;3531,60;3828,20;108,70;1483,22;1,00;1,00;0,01;0,14;0,65;2,38;0,08;0,05;376,00;0,18;2019,00
BOVESPA:DXCO3;Dexco S.A. (BOVESPA:DXCO3);15,20;-545,80;0,00;405,73;10715,00;3520,90;1243,20;1233,10;11532,20;14238,70;758,70;4932,17;1,00;0,00;0,05;1,35;0,00;2,34;0,12;0,04;2278,00;0,33;2019,00
BOVESPA:EUCA4;Eucatex S.A. Indústria e Comércio (BOVESPA:EUCA4);8,30;0,00;0,00;65,66;2299,00;471,60;8,00;259,50;2502,70;2959,30;92,10;1326,68;0,00;0,00;0,00;0,00;0,00;1,89;0,00;0,03;464,00;0,21;2019,00
BOVESPA:KLBN4;Klabin S.A. (BOVESPA:KLBN4);3,55;-965,30;0,00;714,62;34703,00;24582,50;8340,40;3745,50;20098,40;35840,30;5270,20;6501,27;1,00;0,00;0,05;1,35;0,00;3,09;0,24;0,02;16242,00;0,71;2019,00
BOVESPA:MSPA3;Companhia Melhoramentos de São Paulo (BOVESPA:MSPA3);50,00;-2,60;0,00;-36,58;1431,00;44,50;36,50;-27,30;321,40;316,80;6,40;883,40;1,00;0,00;0,01;0,00;0,00;0,36;0,03;-0,03;8,00;0,03;2019,00
BOVESPA:SUZB3;Suzano S.A. (BOVESPA:SUZB3);39,68;-606,63;0,00;-2817,52;97908,00;67668,40;3249,10;10158,30;53537,10;113596,40;1349,20;18087,97;1,00;0,00;0,01;0,00;0,00;2,96;0,03;-0,03;64419,00;0,69;2019,00
BOVESPA:RANI3;Irani Papel e Embalagem S.A. (BOVESPA:RANI3);4,00;-3,70;0,00;-79,59;1580,00;860,70;80,80;227,50;660,50;1518,20;164,30;336,49;1,00;0,00;0,01;0,00;0,00;1,96;0,05;-0,05;780,00;0,55;2019,00
BOVESPA:SNSY5;Sansuy S.A. (BOVESPA:SNSY5);2,68;0,00;0,00;-184,96;379,00;132,50;13,00;-69,40;20,70;133,20;7,70;-1238,69;0,00;0,00;0,00;0,00;0,00;-0,02;0,03;-0,49;119,00;0,35;2019,00
BOVESPA:ETER3;Eternit S.A. (BOVESPA:ETER3);4,26;0,00;0,00;-12,63;546,00;174,80;9,40;-28,90;135,30;244,40;31,80;-2,78;1,00;0,00;0,00;0,00;0,00;-48,71;0,02;-0,02;165,00;0,32;2019,00
BOVESPA:HAGA4;HAGA S/A Indústria e Comércio (BOVESPA:HAGA4);2,39;0,00;0,00;2,50;56,00;38,50;0,00;5,90;37,90;46,80;11,90;-75,51;0,00;0,00;0,00;0,00;0,00;-0,50;0,00;0,05;38,00;0,68;2019,00
BOVESPA:PTBL3;PBG S.A. (BOVESPA:PTBL3);5,37;-28,60;0,00;13,16;1836,00;795,90;275,40;119,40;851,10;1340,00;158,50;367,64;1,00;0,00;0,03;2,17;0,00;2,32;0,15;0,01;521,00;0,43;2019,00
BOVESPA:AZEV4;Azevedo & Travassos S.A. (BOVESPA:AZEV4);4,45;0,00;0,00;-35,78;55,00;34,00;0,00;-18,50;28,10;56,80;5,40;-246,37;0,00;0,00;0,00;0,00;0,00;-0,11;0,00;-0,65;34,00;0,62;2019,00
BOVESPA:SOND5;Sondotécnica Engenharia de Solos S.A. (BOVESPA:SOND5);36,01;-14,90;0,00;4,39;74,00;2,80;3,80;4,30;87,50;64,70;2,40;51,76;1,00;0,00;0,17;3,39;0,00;1,69;0,05;0,06;-1,00;0,04;2019,00
BOVESPA:TCNO4;Tecnosolo Engenharia S.A. (BOVESPA:TCNO4);1,41;0,00;0,00;-0,37;233,00;33,80;0,00;-0,70;9,50;43,00;6,60;0,76;0,00;0,00;0,00;0,00;0,00;12,53;0,00;0,00;34,00;0,15;2019,00
BOVESPA:EMBR3;Embraer S.A. (BOVESPA:EMBR3);19,73;-7,30;0,00;-1294,09;42615,00;593,10;3447,00;572,70;14519,70;12037,10;735,90;14569,55;1,00;0,00;0,00;0,00;0,00;1,00;0,08;-0,03;-2854,00;0,01;2019,00
BOVESPA:FRAS3;Fras-le S.A. (BOVESPA:FRAS3);5,70;-70,40;0,00;32,81;1620,00;493,70;178,40;162,80;1223,00;1509,00;214,60;779,33;1,00;0,00;0,06;2,15;0,00;1,57;0,11;0,02;315,00;0,31;2019,00
BOVESPA:POMO4;Marcopolo S.A. (BOVESPA:POMO4);4,50;-82,90;-14,70;212,03;5194,00;1803,40;1074,60;312,00;4223,80;5024,70;943,20;2358,41;1,00;1,00;0,02;0,39;0,07;1,79;0,21;0,04;729,00;0,35;2019,00
BOVESPA:RAPT4;Randon S.A. Implementos e Participações (BOVESPA:RAPT4);13,40;-150,70;0,00;300,54;6328,00;2999,40;1172,00;676,10;4325,10;6038,20;342,30;2175,96;1,00;0,00;0,03;0,50;0,00;1,99;0,19;0,05;1827,00;0,47;2019,00
BOVESPA:RCSL4;Recrusul S/A (BOVESPA:RCSL4);3,52;0,00;0,00;-3,46;39,00;0,10;0,20;1,20;133,40;133,30;37,90;-67,26;0,00;0,00;0,00;0,00;0,00;-1,98;0,00;-0,09;0,00;0,00;2019,00
BOVESPA:RSUL4;Metalúrgica Riosulense S.A. (BOVESPA:RSUL4);12,85;0,00;0,00;17,30;189,00;6,00;0,00;35,50;74,90;80,80;5,80;-2,62;0,00;0,00;0,00;0,00;0,00;-28,63;0,00;0,09;6,00;0,03;2019,00
BOVESPA:TUPY3;Tupy S.A. (BOVESPA:TUPY3);25,30;-152,70;0,00;278,93;5124,00;1484,00;840,00;703,90;3647,70;4587,70;144,20;2387,40;1,00;0,00;0,04;0,55;0,00;1,53;0,16;0,05;644,00;0,29;2019,00
BOVESPA:MWET4;Wetzel S.A. (BOVESPA:MWET4);6,20;0,00;0,00;-39,12;174,00;78,30;4,00;-9,10;13,30;87,60;2,10;-209,92;0,00;0,00;0,00;0,00;0,00;-0,06;0,02;-0,23;74,00;0,45;2019,00
BOVESPA:SHUL4;Schulz S.A. (BOVESPA:SHUL4);2,53;-9,50;0,00;97,15;1397,00;535,10;35,90;137,70;901,10;1111,40;355,80;620,10;1,00;0,00;0,01;0,10;0,00;1,45;0,03;0,07;499,00;0,38;2019,00
BOVESPA:WEGE3;WEG S.A. (BOVESPA:WEGE3);17,33;-680,90;0,00;1632,46;15688,00;2487,80;396,20;2173,30;72699,90;72604,10;4195,00;8929,99;1,00;0,00;0,01;0,42;0,00;8,14;0,03;0,10;2092,00;0,16;2019,00
BOVESPA:EALT4;Electro Aço Altona S.A. (BOVESPA:EALT4);6,55;-6,60;0,00;16,85;368,00;87,60;5,00;37,20;220,00;293,20;22,50;162,75;1,00;0,00;0,03;0,39;0,00;1,35;0,01;0,05;83,00;0,24;2019,00
BOVESPA:BDLL4;Bardella S.A. Indústrias Mecânicas (BOVESPA:BDLL4);8,07;0,00;0,00;-204,42;728,00;319,30;2,10;-209,40;12,90;306,50;1,60;-97,69;0,00;0,00;0,00;0,00;0,00;-0,13;0,00;-0,28;317,00;0,44;2019,00
BOVESPA:INEP4;Inepar S.A. Indústria e Construções (BOVESPA:INEP4);0,39;0,00;0,00;-464,07;1408,00;701,80;0,60;-126,60;62,30;670,00;159,40;-2016,00;0,00;0,00;0,00;0,00;0,00;-0,03;0,00;-0,33;701,00;0,50;2019,00
BOVESPA:KEPL3;Kepler Weber S.A. (BOVESPA:KEPL3);9,82;-6,60;0,00;37,57;676,00;42,90;38,40;72,90;774,90;763,60;78,90;467,38;1,00;0,00;0,01;0,18;0,00;1,66;0,06;0,06;4,00;0,06;2019,00
BOVESPA:FRIO3;Metalfrio Solutions S.A. (BOVESPA:FRIO3);61,00;0,00;0,00;47,45;1627,00;1041,30;240,10;174,30;250,50;926,30;4,10;127,29;0,00;0,00;0,00;0,00;0,00;1,97;0,15;0,03;801,00;0,64;2019,00
BOVESPA:MILS3;Mills Locação, Serviços e Logística S.A. (BOVESPA:MILS3);10,45;0,00;0,00;-44,98;1376,00;150,20;124,90;122,30;2608,20;2651,20;249,60;1107,37;0,00;0,00;0,00;0,00;0,00;2,36;0,09;-0,03;25,00;0,11;2019,00
BOVESPA:NORD3;Nordon Indústrias Metalúrgicas S/A (BOVESPA:NORD3);4,81;0,00;0,00;-0,33;17,00;29,10;0,00;0,00;31,80;69,00;6,60;-139,30;0,00;0,00;0,00;0,00;0,00;-0,23;0,00;-0,02;29,00;1,74;2019,00
BOVESPA:ROMI3;Romi S.A. (BOVESPA:ROMI3);13,68;-45,90;0,00;129,91;1367,00;349,50;147,80;59,50;1103,20;1301,10;80,70;758,88;1,00;0,00;0,04;0,35;0,00;1,45;0,11;0,10;202,00;0,26;2019,00
BOVESPA:MTSA4;METISA Metalúrgica Timboense S.A. (BOVESPA:MTSA4);23,49;-6,90;-0,30;18,00;309,00;38,10;76,90;28,10;207,00;163,90;9,00;241,51;1,00;1,00;0,03;0,38;0,02;0,86;0,25;0,06;-39,00;0,12;2019,00
BOVESPA:TASA4;Taurus Armas S.A. (BOVESPA:TASA4);5,99;0,00;0,00;43,43;1066,00;901,70;36,00;96,50;489,00;1357,20;88,50;-304,62;0,00;0,00;0,00;0,00;0,00;-1,61;0,03;0,04;866,00;0,85;2019,00
BOVESPA:AZUL4;Azul S.A. (BOVESPA:AZUL4);58,28;0,00;-12,90;-2403,09;19197,00;15874,50;1647,90;1923,60;19900,00;32652,00;341,50;-3519,17;0,00;1,00;0,00;0,00;-0,01;-5,65;0,09;-0,13;14227,00;0,83;2019,00
BOVESPA:GOLL4;Gol Linhas Aéreas Inteligentes S.A. (BOVESPA:GOLL4);36,80;0,00;-102,40;179,34;15298,00;14462,60;1645,40;3852,70;12883,80;25715,90;350,10;-7105,42;0,00;1,00;0,00;0,00;0,57;-1,81;0,11;0,01;12817,00;0,95;2019,00
BOVESPA:RAIL3;Rumo S.A. (BOVESPA:RAIL3);26,10;-4,20;0,00;785,87;32833,00;16249,40;1963,00;3720,50;40690,30;53817,80;1559,00;8614,29;1,00;0,00;0,00;0,01;0,00;4,72;0,06;0,02;14286,00;0,50;2019,00
BOVESPA:LOGN3;Log-In Logística Intermodal S.A. (BOVESPA:LOGN3);20,90;0,00;0,00;11,16;1912,00;1345,60;55,30;271,10;2152,30;3442,30;103,00;317,05;0,00;0,00;0,00;0,00;0,00;6,79;0,03;0,01;1290,00;0,70;2019,00
BOVESPA:JSLG3;JSL S.A. (BOVESPA:JSLG3);26,77;0,00;-11,80;318,63;20268,00;14634,90;591,80;1063,90;5535,70;14982,90;206,80;2379,96;0,00;1,00;0,00;0,00;0,04;2,33;0,03;0,02;14043,00;0,72;2019,00
BOVESPA:TGMA3;Tegma Gestão Logística S.A. (BOVESPA:TGMA3);37,65;-103,60;0,00;193,97;985,00;218,10;67,30;284,10;2482,60;2595,80;65,90;575,08;1,00;0,00;0,04;0,53;0,00;4,32;0,07;0,20;151,00;0,22;2019,00
BOVESPA:CCRO3;CCR S.A. (BOVESPA:CCRO3);18,98;-1540,70;0,00;1426,45;33262,00;19560,90;1263,20;5190,80;38339,60;52032,00;2020,00;8439,69;1,00;0,00;0,04;1,08;0,00;4,54;0,04;0,04;18298,00;0,59;2019,00
BOVESPA:ECOR3;EcoRodovias Infraestrutura e Logística S.A. (BOVESPA:ECOR3);16,30;0,00;0,00;-185,46;11542,00;8679,10;1856,20;1810,50;9070,30;15885,90;556,50;455,35;0,00;0,00;0,00;0,00;0,00;19,92;0,16;-0,02;6823,00;0,75;2019,00
BOVESPA:TPIS3;Triunfo Participações e Investimentos S.A. (BOVESPA:TPIS3);1,69;0,00;0,00;-216,44;3747,00;2053,00;101,70;319,60;293,20;2327,60;173,50;751,22;0,00;0,00;0,00;0,00;0,00;0,39;0,03;-0,06;1951,00;0,55;2019,00
BOVESPA:STBP3;Santos Brasil Participações S.A. (BOVESPA:STBP3);8,18;-2,80;0,00;15,38;3196,00;467,30;266,40;205,90;5460,80;5482,60;667,60;1352,38;1,00;0,00;0,00;0,18;0,00;4,04;0,08;0,01;201,00;0,15;2019,00
BOVESPA:ATMP3;ATMA Participações S.A. (BOVESPA:ATMP3);8,89;0,00;0,00;-422,42;1295,00;446,70;57,90;-231,10;25,00;452,50;2,80;-165,54;0,00;0,00;0,00;0,00;0,00;-0,15;0,04;-0,33;389,00;0,35;2019,00
BOVESPA:DTCY3;DTCOM - Direct to Company S.A. (BOVESPA:DTCY3);5,10;0,00;0,00;-10,86;29,00;4,80;2,50;-4,80;39,70;54,10;7,80;4,66;0,00;0,00;0,00;0,00;0,00;8,52;0,09;-0,38;2,00;0,17;2019,00
BOVESPA:VLID3;Valid Soluções S.A. (BOVESPA:VLID3);16,98;-42,30;-1,20;53,74;2518,00;945,30;318,50;263,40;1193,80;1895,30;70,30;1117,11;1,00;1,00;0,04;0,79;0,02;1,07;0,13;0,02;627,00;0,38;2019,00
BOVESPA:EPAR3;Embpar Participacoes S.A. (BOVESPA:EPAR3);6,12;0,00;0,00;9,67;131,00;33,90;3,80;20,20;94,00;125,00;15,40;10,09;0,00;0,00;0,00;0,00;0,00;9,32;0,03;0,07;30,00;0,26;2019,00
BOVESPA:WLMM4;WLM Participações e Comércio de Máquinas e Veículos S.A. (BOVESPA:WLMM4);13,27;-7,10;0,00;49,78;515,00;11,70;12,90;61,80;478,40;446,60;36,40;420,53;1,00;0,00;0,01;0,14;0,00;1,14;0,03;0,10;-1,00;0,02;2019,00
BOVESPA:AGRO3;BrasilAgro - Companhia Brasileira de Propriedades Agrícolas (BOVESPA:AGRO3);19,02;-41,00;0,00;177,08;1358,00;333,30;106,60;207,00;1023,30;1296,30;53,80;880,53;1,00;0,00;0,04;0,23;0,00;1,16;0,08;0,13;227,00;0,25;2019,00
BOVESPA:FRTA3;Pomifrutas S/A (BOVESPA:FRTA3);8,05;0,00;0,00;0,60;33,00;64,80;0,10;-2,80;16,10;80,10;2,00;-67,97;0,00;0,00;0,00;0,00;0,00;-0,24;0,00;0,02;65,00;1,99;2019,00
BOVESPA:SLCE3;SLC Agrícola S.A. (BOVESPA:SLCE3);22,55;-181,20;-37,80;315,04;6958,00;2503,40;829,40;664,50;4620,10;6857,00;204,90;2984,42;1,00;1,00;0,04;0,58;0,12;1,55;0,12;0,05;1674,00;0,36;2019,00
BOVESPA:SMTO3;São Martinho S.A. (BOVESPA:SMTO3);23,72;-180,00;0,00;314,05;9749,00;4469,90;197,60;1636,50;8275,10;11898,80;348,90;3391,01;1,00;0,00;0,02;0,57;0,00;2,44;0,02;0,03;4272,00;0,46;2019,00
