Tickers;Long Company Name;Last Sale Price;Common Dividends Paid;Repurchase of Common Stock;Net Income to Company;Total Assets;Total Debt;Cash And Equivalents;LTM EBITDA;Market Capitalization;Total Enterprise Value;Shares Outstanding;Total Equity;Paid Dividend;Repurchase of Stock ;Dividend Yield (%);Payout Dividendos;Payout Recompra;MB;CASH;ROA;Net Debt;DEBT;Year
BOVESPA:EVEN3;Even Construtora e Incorporadora S.A. (BOVESPA:EVEN3);6,59;-171,80;-24,40;286,22;5930,00;359,90;39,90;326,50;1345,20;1415,30;204,10;2592,00;1,00;1,00;0,13;0,60;0,09;0,52;0,01;0,05;320,00;0,06;2021,00
BOVESPA:EZTC3;EZTEC Empreendimentos e Participações S.A. (BOVESPA:EZTC3);20,45;-96,20;-115,50;452,14;5075,00;43,60;62,00;236,80;4608,60;3689,40;225,40;4369,00;1,00;1,00;0,02;0,21;0,26;1,05;0,01;0,09;-18,00;0,01;2021,00
BOVESPA:GFSA3;Gafisa S.A. (BOVESPA:GFSA3);18,09;0,00;0,00;81,05;4722,00;1583,40;35,40;36,20;677,70;1183,90;37,50;1816,00;0,00;0,00;0,00;0,00;0,00;0,37;0,01;0,02;1548,00;0,34;2021,00
BOVESPA:HBOR3;Helbor Empreendimentos S.A. (BOVESPA:HBOR3);4,68;-6,30;0,00;144,90;4307,00;1319,50;136,30;85,40;621,00;2028,10;132,70;1814,00;1,00;0,00;0,01;0,04;0,00;0,34;0,03;0,03;1183,00;0,31;2021,00
BOVESPA:JHSF3;JHSF Participações S.A. (BOVESPA:JHSF3);5,58;-269,40;-36,60;981,22;8412,00;2214,00;421,70;1151,10;3802,30;5078,60;681,40;4546,00;1,00;1,00;0,07;0,27;0,04;0,84;0,05;0,12;1792,00;0,26;2021,00
BOVESPA:KLAS3;Kallas Incorporações e Construções S.A. (BOVESPA:KLAS3);0,41;-100,20;0,00;77,45;1467,00;297,40;193,70;65,50;0,00;129,00;0,10;798,00;1,00;0,00;;1,29;0,00;0,00;0,13;0,05;104,00;0,20;2021,00
BOVESPA:LAVV3;Lavvi Empreendimentos Imobiliários S.A. (BOVESPA:LAVV3);5,19;-156,00;-54,00;204,30;1751,00;3,10;4,60;173,00;1080,50;564,60;208,20;1250,00;1,00;1,00;0,14;0,76;0,26;0,86;0,00;0,12;-2,00;0,00;2021,00
BOVESPA:MELK3;Melnick Even Desenvolvimento Imobiliário S.A. (BOVESPA:MELK3);3,90;-68,30;-31,70;86,36;1951,00;48,40;16,10;76,00;788,50;332,00;202,20;1199,00;1,00;1,00;0,09;0,79;0,37;0,66;0,01;0,04;32,00;0,03;2021,00
BOVESPA:MTRE3;Mitre Realty Empreendimentos e Participações S.A. (BOVESPA:MTRE3);8,37;-59,70;0,00;27,38;1585,00;111,30;115,50;45,30;885,30;648,00;105,80;995,00;1,00;0,00;0,07;2,18;0,00;0,89;0,07;0,02;-4,00;0,07;2021,00
BOVESPA:MDNE3;Moura Dubeux Engenharia S.A. (BOVESPA:MDNE3);5,84;0,00;-13,00;84,94;2694,00;124,90;113,90;88,90;495,90;510,00;84,90;1072,00;0,00;1,00;0,00;0,00;0,15;0,46;0,04;0,03;11,00;0,05;2021,00
