Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_Numeros;Cidade;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
60;16/11/2004;1;2;3;4;5;8;11;16;17;18;19;22;23;24;25;0;3;MG;362;30873;165747;1022631;485.556,53;1.724,55;10;4;2;0;0;0
61;22/11/2004;1;4;5;9;11;12;13;14;15;16;19;20;22;23;25;0;2;ES;300;14553;253317;1311870;698.017,29;1.994,34;10;4;2;0;0;0
62;29/11/2004;1;3;7;8;9;11;13;14;15;16;17;18;20;24;25;0;5;GO;432;19513;234116;1336449;282.087,66;1.399,25;10;4;2;0;0;0
63;06/12/2004;4;8;9;10;11;12;13;16;17;19;20;21;22;24;25;0;2;GO;379;15221;209528;1301392;870.856,42;1.969,52;10;4;2;0;0;0
64;13/12/2004;1;2;3;6;7;8;9;10;13;14;17;18;20;23;25;0;4;PA;525;20308;280806;1586899;323.455,35;1.056,18;10;4;2;0;0;0
65;20/12/2004;1;2;4;7;10;15;16;17;18;19;20;21;22;23;25;0;0;;300;13067;218281;1147456;0;2.735,19;10;4;2;1.914.633,24;0;0
66;27/12/2004;1;2;4;8;10;11;14;15;16;17;20;21;22;23;24;0;8;BA;834;25470;309390;1631513;434.105,49;800,73;10;4;2;0;0;0
67;03/01/2005;5;7;8;9;10;11;12;13;15;16;20;21;22;23;24;0;4;DF;294;12324;205063;1212285;394.429,73;2.299,88;10;4;2;0;0;0
68;10/01/2005;1;2;3;5;6;7;8;9;10;12;16;17;22;23;25;0;2;RS;368;14579;211030;1291340;853.689,74;1.988,41;10;4;2;0;0;0
69;17/01/2005;1;4;7;8;9;10;11;15;17;18;19;20;21;23;24;0;4;DF;619;34720;283047;1543014;296.233,16;820,4;10;4;2;0;0;0
70;24/01/2005;1;2;3;5;6;9;10;12;14;15;16;19;20;24;25;0;6;MG;611;19413;230116;1265554;264.323,93;1.112,42;10;4;2;0;0;0
71;31/01/2005;1;3;5;6;8;9;11;13;14;15;16;18;21;22;23;0;4;GO;744;21490;276234;1289869;349.187,58;804,58;10;4;2;0;0;0
72;09/02/2005;1;2;5;7;8;11;12;13;15;16;17;18;23;24;25;0;2;RS;485;16561;198957;1178585;571.665,39;1.010,31;10;4;2;0;0;0
73;14/02/2005;1;2;5;7;10;11;13;14;15;16;17;18;19;21;25;0;3;PA;401;16615;240646;1388168;404.461,66;1.296,82;10;4;2;0;0;0
74;21/02/2005;1;2;3;4;5;6;8;11;13;15;16;18;22;23;25;0;7;MS;861;36320;325482;1342101;165.704,35;575,18;10;4;2;0;0;0
75;28/02/2005;1;3;4;5;6;7;8;10;11;13;15;16;17;20;25;0;2;RJ;564;22764;330303;1538522;531.264,65;807,39;10;4;2;0;0;0
76;07/03/2005;1;3;5;8;9;10;12;13;15;16;17;19;21;23;25;0;13;BA;2705;63452;463129;1672037;49.566,81;101,71;10;4;2;0;0;0
77;14/03/2005;2;3;4;6;8;9;11;14;17;18;20;21;22;24;25;0;4;MG;742;21609;228257;1213259;434.837,87;1.004,63;10;4;2;0;0;0
78;21/03/2005;1;2;3;5;6;7;8;12;13;15;16;17;18;20;23;0;1;PA;643;23291;317982;1617133;1.007.644,94;669,06;10;4;2;0;0;0
79;28/03/2005;1;2;3;5;9;12;14;15;17;18;20;22;23;24;25;0;1;DF;443;17526;230930;1249856;1.429.789,18;1.383,22;10;4;2;0;0;0
80;04/04/2005;1;2;3;4;5;7;9;10;14;15;17;18;20;22;25;0;1;RN;502;19706;292151;1294632;1.387.219,92;1.184,31;10;4;2;0;0;0
81;11/04/2005;1;2;3;4;5;6;7;10;11;13;15;16;17;19;21;0;6;BA;866;29787;387171;1619963;160.734,67;475,46;10;4;2;0;0;0
82;18/04/2005;1;4;5;6;8;9;12;13;15;17;18;19;20;22;23;0;4;BA;636;20746;250768;1418972;378.128,77;1.019,22;10;4;2;0;0;0
83;25/04/2005;1;2;3;5;6;8;10;11;12;13;14;20;23;24;25;0;3;BA;505;19766;290953;1615749;370.701,93;943,79;10;4;2;0;0;0
84;02/05/2005;1;2;4;6;8;12;15;16;17;19;20;22;23;24;25;0;2;RS;525;21813;263703;1419482;729.194,11;1.190,52;10;4;2;0;0;0
85;09/05/2005;1;2;5;7;8;9;11;13;14;15;16;18;21;22;23;0;13;BA;988;41716;303054;1673514;86.488,60;485,87;10;4;2;0;0;0
86;16/05/2005;2;4;5;6;8;9;12;13;14;17;18;19;23;24;25;0;14;AM;1437;33924;344925;1583126;81.060,95;337,18;10;4;2;0;0;0
87;23/05/2005;1;2;3;5;8;9;10;11;13;15;18;20;22;24;25;0;14;DF;1308;46044;353024;1711252;62.917,54;287,52;10;4;2;0;0;0
88;30/05/2005;1;2;4;5;8;9;10;11;12;14;17;18;19;24;25;0;5;DF;853;30153;318718;1383793;257.018,77;643,22;10;4;2;0;0;0
89;06/06/2005;1;6;11;12;13;15;16;17;19;20;21;22;23;24;25;0;2;RO;528;59274;230638;1266634;858.145,42;1.393,10;10;4;2;0;0;0
90;13/06/2005;1;2;3;8;10;11;12;15;17;20;21;22;23;24;25;0;4;MG;525;17979;236987;1539050;400.382,66;1.307,37;10;4;2;0;0;0
91;20/06/2005;1;4;9;10;11;12;13;14;15;16;17;20;22;23;25;0;2;AP;428;23937;203510;1341264;880.833,62;1.764,02;10;4;2;0;0;0
92;27/06/2005;1;2;4;6;8;12;13;14;15;17;18;19;21;22;24;0;5;MG;714;22604;257642;1433995;290.246,68;871,09;10;4;2;0;0;0
93;04/07/2005;2;4;5;6;7;9;10;13;17;18;19;20;21;23;24;0;6;PE;480;18433;230658;1352474;271.483,43;1.454,37;10;4;2;0;0;0
94;11/07/2005;2;4;8;9;11;12;13;15;16;17;18;21;22;23;24;0;2;RJ;573;29882;267884;1577059;694.861,30;1.039,43;10;4;2;0;0;0
95;18/07/2005;1;2;3;4;5;10;11;12;14;15;17;18;19;20;22;0;2;BA;401;20787;231813;1294859;883.199,51;1.887,85;10;4;2;0;0;0
96;25/07/2005;3;4;6;9;10;12;14;16;17;18;19;21;22;23;24;0;1;MT;454;16790;220370;1209732;1.793.190,45;1.692,75;10;4;2;0;0;0
97;02/08/2005;3;4;6;10;12;13;14;15;17;19;20;22;23;24;25;0;4;BA;539;19062;237912;1490877;379.485,48;1.206,95;10;4;2;0;0;0
98;08/08/2005;1;2;5;6;8;10;11;15;17;18;20;22;23;24;25;0;5;MG;1089;31800;376336;1625070;238.130,55;466,8;10;4;2;0;0;0
99;15/08/2005;1;2;3;4;7;10;11;13;14;16;17;20;21;24;25;0;4;ES;695;19351;227907;1278734;424.895,89;1.048,05;10;4;2;0;0;0
100;22/08/2005;1;3;4;8;9;10;11;12;13;14;16;17;22;23;25;0;6;BA;547;39008;241845;1371980;251.438,56;1.182,00;10;4;2;0;0;0
101;29/08/2005;1;3;6;7;9;10;13;14;16;17;19;20;21;23;24;0;9;AM;917;26691;287551;1473207;144.911,71;607,23;10;4;2;0;0;0
102;05/09/2005;1;2;3;4;7;9;10;11;12;18;19;21;22;23;25;0;5;BA;622;20635;267607;1361023;323.383,57;1.114,09;10;4;2;0;0;0
103;12/09/2005;1;2;3;4;5;7;8;10;11;16;17;18;22;23;25;0;5;MS;467;26477;269789;1577960;276.012,69;1.266,50;10;4;2;0;0;0
104;19/09/2005;5;6;7;10;11;13;14;15;16;18;19;21;22;24;25;0;2;GO;354;13835;196494;1186254;982.532,88;2.379,02;10;4;2;0;0;0
105;26/09/2005;4;6;7;8;9;10;11;12;13;15;17;19;21;22;25;0;2;PE;425;15988;225268;1278152;855.532,63;1.725,44;10;4;2;0;0;0
106;03/10/2005;1;2;3;4;5;6;10;12;13;14;15;17;22;23;25;0;3;RJ;471;22766;286573;1570457;442.710,00;1.208,49;10;4;2;0;0;0
107;10/10/2005;1;3;4;6;7;8;9;11;12;15;17;18;21;24;25;0;1;SP;494;16680;215950;1314644;1.801.807,58;1.563,17;10;4;2;0;0;0
108;17/10/2005;1;2;4;7;8;9;11;12;14;15;16;18;22;23;25;0;8;AM;1094;26164;281728;1425759;159.562,30;498,16;10;4;2;0;0;0
109;24/10/2005;1;3;5;7;9;11;12;13;16;18;20;21;23;24;25;0;14;BA;2257;44187;335886;1552174;76.346,11;202,19;10;4;2;0;0;0
110;31/10/2005;1;3;4;5;6;12;13;14;17;19;20;21;22;23;25;0;2;PE;442;23523;280697;1423182;706.957,82;1.370,96;10;4;2;0;0;0
111;07/11/2005;1;5;6;10;11;12;13;15;17;18;19;21;22;24;25;0;1;MG;415;17785;266234;1440550;1.503.858,33;1.553,04;10;4;2;0;0;0
112;14/11/2005;1;2;3;4;6;10;11;14;15;17;18;19;20;21;23;0;1;SP;341;13885;218980;1274318;1.749.331,36;2.198,57;10;4;2;0;0;0
113;21/11/2005;1;2;4;5;6;8;11;12;13;14;19;20;21;24;25;0;3;SP;437;16637;236170;1390432;514.867,34;1.514,81;10;4;2;0;0;0
114;28/11/2005;1;2;3;6;7;8;9;10;11;14;20;21;22;24;25;0;0;;320;11371;182608;1159190;0;2.542,69;10;4;2;1.898.540,00;0;0
115;05/12/2005;1;4;5;6;7;9;11;12;13;16;17;18;20;21;25;0;1;MG;674;22580;326888;1754217;4.081.776,78;1.388,24;10;4;2;0;0;0
116;12/12/2005;1;2;9;10;11;12;13;14;16;18;19;20;21;23;25;0;2;SP;484;20047;292261;1619598;848.830,45;1.503,24;10;4;2;0;0;0
117;19/12/2005;5;6;7;9;10;11;12;13;14;15;17;18;20;23;25;0;3;SP;498;18606;280170;1592727;569.686,18;1.470,79;10;4;2;0;0;0
118;27/12/2005;2;4;5;6;8;12;13;14;15;18;19;21;22;23;24;0;4;BA;660;35222;301415;1520411;357.319,00;928,1;10;4;2;0;0;0
119;02/01/2006;1;4;6;8;9;10;11;15;17;18;20;21;22;23;24;0;1;SP;370;20989;223234;1259823;1.663.143,71;1.926,43;10;4;2;0;0;0
120;09/01/2006;1;3;5;7;8;11;12;13;15;16;18;19;20;21;24;0;2;PR;758;25198;303361;1549722;746.715,01;844,38;10;4;2;0;0;0
121;16/01/2006;1;2;4;5;7;9;10;11;12;16;17;18;23;24;25;0;3;PI;830;27637;298499;1491043;492.515,31;760,04;10;4;2;0;0;0
122;23/01/2006;1;2;4;5;8;9;10;13;15;17;18;20;22;23;25;0;8;DF;1291;32778;368045;1643408;136.137,23;360,18;10;4;2;0;0;0
123;30/01/2006;4;5;6;7;11;12;13;17;18;19;20;21;22;23;24;0;4;BA;670;18123;225258;1346974;422.565,92;1.081,20;10;4;2;0;0;0
124;06/02/2006;2;3;4;6;7;9;14;15;16;18;19;20;21;24;25;0;2;SP;396;15090;194421;1186925;1.036.561,02;2.243,64;10;4;2;0;0;0
125;13/02/2006;2;3;4;6;7;9;10;11;12;15;16;21;22;24;25;0;2;GO;395;13621;188288;1269512;1.047.965,76;2.274,07;10;4;2;0;0;0
126;20/02/2006;1;2;3;4;6;7;8;13;14;16;18;21;22;24;25;0;0;;493;18073;245449;1428758;0;1.516,70;10;4;2;1.744.710,64;0;0
127;01/03/2006;1;2;3;4;5;7;10;11;12;13;18;19;22;23;25;0;5;BA;633;26537;226287;1209770;519.339,50;574,65;10;4;2;0;0;0
128;06/03/2006;2;3;4;6;11;13;14;15;16;17;19;20;21;23;25;0;2;AM;422;18165;257399;1512543;830.452,68;1.686,77;10;4;2;0;0;0
129;13/03/2006;2;5;6;7;9;11;13;15;18;19;20;21;22;23;25;0;3;CE;907;38023;333579;1684780;448.986,01;634,05;10;4;2;0;0;0
130;20/03/2006;2;3;4;5;6;9;10;12;13;15;17;19;23;24;25;0;3;MG;952;29720;362203;1689512;417.614,17;561,87;10;4;2;0;0;0
131;27/03/2006;2;4;5;6;7;8;11;12;13;15;19;20;22;23;25;0;1;MG;660;23967;320580;1600418;1.341.544,37;871,13;10;4;2;0;0;0
132;03/04/2006;1;3;4;5;7;9;10;11;14;15;16;17;22;23;25;0;10;CE;792;26452;340872;1584197;135.976,17;733,01;10;4;2;0;0;0
133;10/04/2006;1;3;4;5;8;9;11;13;15;18;19;20;21;22;23;0;5;MS;895;32294;385069;1862691;217.132,17;517,9;10;4;2;0;0;0
134;17/04/2006;1;3;5;7;8;10;11;12;13;14;16;17;19;22;25;0;4;GO;1345;32243;321650;1628816;325.378,91;413,15;10;4;2;0;0;0
135;24/04/2006;1;2;5;7;8;10;13;14;15;18;19;20;21;22;25;0;7;ES;775;20815;253415;1441124;234.154,46;906,41;10;4;2;0;0;0
136;02/05/2006;1;2;3;5;6;9;12;13;14;15;17;21;22;23;24;0;2;SC;329;14555;238514;1255488;671.843,75;1.750,35;10;4;2;0;0;0
137;08/05/2006;2;6;8;9;10;11;12;13;16;17;18;19;20;21;25;0;2;MG;313;12648;221694;1259615;937.816,37;2.568,19;10;4;2;0;0;0
138;15/05/2006;2;3;4;5;7;8;11;13;15;16;17;21;22;24;25;0;3;RS;464;18695;250239;1503282;476.718,72;1.320,96;10;4;2;0;0;0
139;22/05/2006;1;2;7;9;12;14;15;16;17;18;19;21;22;23;24;0;1;RN;443;18564;247145;1370404;1.596.786,85;1.544,78;10;4;2;0;0;0
140;29/05/2006;1;2;3;6;9;10;12;13;15;18;19;20;22;24;25;0;7;MS;787;22971;268181;1413296;210.217,72;801,34;10;4;2;0;0;0
141;05/06/2006;1;3;7;8;9;10;12;13;16;17;18;19;20;24;25;0;2;MG;471;17588;247734;1532701;793.662,96;1.444,34;10;4;2;0;0;0
142;12/06/2006;1;2;4;5;6;7;9;15;16;17;18;19;22;23;24;0;1;DF;373;15636;246926;1364705;1.692.224,96;1.944,35;10;4;2;0;0;0
143;19/06/2006;1;2;8;9;11;13;15;16;17;19;21;22;23;24;25;0;5;BA;677;29324;326923;1643883;201.113,36;634,16;10;4;2;0;0;0
144;26/06/2006;1;2;4;7;9;11;12;14;17;19;20;21;22;24;25;0;36;AL;3305;39042;295178;1379832;35.936,80;167,14;10;4;2;0;0;0
145;03/07/2006;1;2;3;9;10;11;13;14;15;17;18;20;22;24;25;0;3;BA;815;30436;317461;1442001;395.268,82;621,2;10;4;2;0;0;0
146;10/07/2006;1;2;5;8;10;11;12;13;14;16;17;22;23;24;25;0;6;BA;557;21375;302776;1519562;219.758,40;1.014,53;10;4;2;0;0;0
147;17/07/2006;1;2;4;5;6;10;11;12;13;16;19;21;22;23;25;0;3;DF;624;25125;278315;1546507;472.583,65;973,73;10;4;2;0;0;0
148;24/07/2006;1;2;4;5;8;9;12;13;16;17;20;21;22;24;25;0;17;AL;1024;23278;276551;1552055;84.381,14;598,09;10;4;2;0;0;0
149;01/08/2006;2;5;7;9;10;13;15;16;17;18;19;20;23;24;25;0;5;RJ;616;22974;303309;1711630;235.870,42;820,52;10;4;2;0;0;0
150;07/08/2006;1;3;5;6;7;8;9;11;14;19;21;22;23;24;25;0;1;SP;333;15291;253716;1446824;1.641.679,38;2.112,84;10;4;2;0;0;0
151;14/08/2006;3;4;5;7;9;10;11;12;13;14;16;18;20;23;24;0;5;MG;626;23014;277803;1417099;333.476,48;1.141,52;10;4;2;0;0;0
152;21/08/2006;3;4;5;6;7;8;13;15;17;19;20;22;23;24;25;0;3;SP;749;23507;300483;1517767;435.453,14;744,65;10;4;2;0;0;0
153;28/08/2006;1;2;4;5;8;11;12;13;17;18;20;21;23;24;25;0;8;AC;958;30251;365810;1713398;130.468,18;465,16;10;4;2;0;0;0
154;04/09/2006;1;2;3;5;6;9;10;11;13;14;15;16;18;23;24;0;1;RS;604;27326;262834;1558936;1.415.829,77;1.004,61;10;4;2;0;0;0
155;11/09/2006;2;4;5;8;10;11;14;15;16;18;19;20;21;22;24;0;0;;559;22378;250331;1242889;0;1.352,92;10;4;2;1.764.652,94;0;0
156;18/09/2006;1;3;4;8;9;10;11;12;13;14;15;19;20;22;23;0;7;MA;606;23142;344899;1779082;544.973,94;1.449,91;10;4;2;0;0;0
157;25/09/2006;1;2;4;6;7;9;10;12;14;16;18;19;21;24;25;0;9;AM;1164;27968;294624;1457786;184.264,18;608,27;10;4;2;0;0;0
158;02/10/2006;2;7;8;9;10;11;12;15;16;17;18;19;20;22;23;0;2;PR;379;14044;227436;1333606;903.537,47;2.043,43;10;4;2;0;0;0
159;09/10/2006;1;2;3;4;5;6;8;10;11;14;15;17;20;24;25;0;2;RS;699;23036;296027;1584286;703.307,50;862,43;10;4;2;0;0;0
160;16/10/2006;1;3;4;9;10;11;12;14;15;16;17;19;20;21;24;0;3;MA;343;15261;208539;1221736;597.551,18;2.239,89;10;4;2;0;0;0
161;19/10/2006;1;5;8;11;13;15;16;17;18;20;21;22;23;24;25;0;0;;611;15775;239227;918806;0;331,96;10;4;2;475.058,19;1.800.000,00;0
162;23/10/2006;1;2;3;4;5;6;8;11;12;13;16;18;20;23;24;0;5;PR;473;17329;259119;1359430;326.388,90;1.048,22;10;4;2;0;0;0
163;26/10/2006;1;2;3;5;6;7;9;13;14;15;20;21;23;24;25;0;3;DF;301;14090;182825;1000015;264.578,33;1.130,14;10;4;2;0;0;0
164;30/10/2006;1;2;3;5;6;8;10;11;14;15;18;21;22;23;24;0;1;BA;350;14833;215986;1200787;1.166.134,45;1.427,92;10;4;2;0;0;0
