Nomes
1465419934
1465424482
1465456260
1984 - Edição Especial - George Orwell
20.000 Leguas Matematicas - A.K. Dewdney
50 Contos de Machado de Assis - John Gledson
50 grandes ideias da humanidade que voce precisa conhecer - Ben Dupre
50 Ideias de Economia - Edmund Conway
50 Ideias de Fisica Quantica - Joanne Ba
50 Ideias de Matematica Que Voc - Tony Crilly
50 Pensadores que Formaram o Mundo Moderno - Stephen Trombley
"50, A Historia do Mundo em 50 Frase - Helge Hesse"
A  Colher que Desaparece - Sam Kean
A Arte da nao Conformidade - Chris Guillebeau
A Arte de Viver - Epicteto
A Ascensão de Atenas - Anthony Everitt
A Assustadora Historia da Medicina - Richard Gordon
A Bola de Neve - Alice Schroeder
A Bomba de Hiroshima - Gordon Thomas
A Briga dos Dois Ivans - Nikolai Gógol
A Civilizacao do Ocidente Medie - Jacques Le Goff
A Divina Comedia - Dante Aliguieri (2)
A Dupla Hélice_ Como Descobri a Estrutura do Dna - James D. Watson
A Economia da Desigualdade - Thomas Piketty
A Era das Maquinas Espirituais - Ray Kurzweil
A Era das Revolucoes (1789 -- 1 - Eric Hobsbawm
A Estrutura das Revolucoes Cien - Thomas S. Kuhn
"A filosofia na alcova, ou, Os preceptores imorais - Marques de Sade"
A Força da Idade - Simone de Beauvoir
A Força das Coisas - Simone de Beauvoir
A Física do Futuro_ Como a Ciência Moldará o Destino Humano e o Nosso Cotidiano - Michio Kaku
A Grande Degeneracao - Niall Ferguson (2)
A Historia Concisa da Literatur - Otto Maria Carpeaux
A História da Filosofia - Will Durant
A Ideia de Justiça - Amartya Sen
A Interpretação dos Sonhos - Sigmund Freud
A logica do Cisne Negro - Nassim Nicholas Taleb
A Mais Breve História da Europa - John Hirst
A Mao Invisivel - Adam Smith
A Medida do Mundo - Robert P. Crease
A Mulher Desiludida - Simone de Beauvoir
A Mulher Mais Linda da Cidade - Charles Bukowski
A Mulher Sem Pecado - Nelson Rodrigues
A Musica dos Numeros Primos - Marcus du Sautoy
A nascente - Ayn Rand
A Natureza Comportamental da Mente_ Behaviorismo Radical e Filosofia da Mente - Diego Zilo
A Nervura do Real Ii_ Imanência e Liberdade Em Espinosa - Marilena Chaui
A Origem das Especies - Charles Darwin
A paisagem moral - Sam Harris
A Prosa do Mundo - Maurice Merleau Ponty
A Realidade Oculta - Universos - Brian Greene
A Rebeliao Das Massas - Jose Ortega Y Gasset
A República de Platão - Recontada Por Alain Badiou - Alain Badiou
A revolta de Atlas - Ayn Rand (2)
A Revolução Alemanha e a Burocracia Stalinista - Leon Trotski
A Revolução dos Bichos - George Orwell
A Sociedade Contra o Estado - Pierre Clastres
A Teoria da Relatividade de Einstein - H. A. Lorentz
"A Teoria Geral do Emprego, do Juro e da Moeda - John Maynard Keynes"
A Terra dos Meninos Pelados - Graciliano Ramos
A Vantagem Humana_ Como Nosso Cérebro Se Tornou Superpoderoso - Suzana Herculano-Houzel
A vida como ela é -  Nelson Rodrigues
A Ética Protestante e o Espírito do Capitalismo - Max Weber
Abaixo as Verdades Sagradas - Harold Bloom (2)
Agora é que São Elas - Paulo Leminski
Alcorao - O livro sagrado do Isla - Maome  Muhammad (2)
Almas Mortas - Nikolai Gógol
"Amar, Verbo Intransitivo - Idílio - Mário de Andrade"
Amores & Arte de amar - Ovidio
Angústia - Graciliano Ramos
Antifrágil_ Coisas que Se Beneficiam Com o Caos - Nassim Nicholas Taleb
Antologia - Rui Barbosa
Antologia Poética - Carlos Drummond de Andrade
Ao Sul de Lugar Nenhum - Charles Bukowski
Apologia da Historia - Marc Bloch
Arriscando a Propria Pele - Nassim Nicholas Taleb
As 48 Leis do Poder - Robert Greene
As Bases Conceituais - Marco Antonio Coutinho Jorge
As dores do mundo - Arthur Schopenhauer
As Grandes Equacoes - Robert P. Crease
As Tecnologias da Inteligência - Pierre Lévy
Astrofisica Para Apressados - Neil deGrasse Tyson
Auto da Barca do Inferno - Gil Vicente (2)
"Bartleby, O Escrevente - Herman Melville"
Batendo a porta do ceu - Lisa Randall
Bilhoes e Bilhoes - Carl Sagan
Box - Os Lusíadas - Luís de Camões
Breviario de Decomposicao - Emil Cioran
Buracos Negros - Stephen Hawking
Caetés - Graciliano Ramos
Cantico - Ayn Rand
Capitalismo e Liberdade - Milton Friedman
Caracteres - Jean de La Bruyere
Carcereiros - Drauzio Varella
Carta sobre a Felicidade - Epicuro
Cartas a um Jovem Cientista - Edward O. Wilson
Cartas Na Rua - Charles Bukowski
Catatau - Paulo Leminski
Cem anos de solidão - Gabriel García Marquez
Cibercultura - Pierre Lévy
Cidades Rebeldes - Slavoj Zizek
Cinco Escritos Morais - Umberto Eco
Ciência e Política Duas Vocações - Max Weber
Como as Democracias Morrem - Daniel Ziblatt
Como Criar uma Mente - Ray Kurzweil
Como e Por Que Ler - Harold Bloom
Como o cerebro cria - David Eagleman
Como Vejo o Mundo - Albert Einstein (2)
Comunicação Em Prosa Moderna - Othon M. Garcia
Contato - Carl Sagan (2)
Crer Ou Não Crer - Leandro Karnal
Critica da Filosofia do Direito - Karl Marx (2)
Critica da Razao Pratica - Emanuel Kant
Critica da Razao Pura - Immanuel Kant (2)
